site,refMLH,refHesperia,text,municipality,province,material,medium,writing_direction,technique,signary,dual_system,separators,dating,municipality_latitude,municipality_longitude,province_latitude,province_longitude,dating_min,dating_max,dating_mean,dating_width,clean_text,material_cat,material_cat_code,medium_cat,medium_cat_code,writing_direction_cat_code,technique_cat,technique_cat_code,signary_cat,signary_cat_code,dual_system_cat,dual_system_cat_code,separators_cat,separators_cat_code
El Turó dels Dos Pins,C.07.15.S1,B.44.17,tikir,Cabrera de Mar,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Hacia el 200 a.C.,41.52804539,2.39258336,41.45,2.08,-220.0,-180.0,-200.0,40.0,digir,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
El Turó dels Dos Pins,C.07.16.S1,B.44.16,bantoŕenḿibaikar,Cabrera de Mar,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Quizás siglo III a.C.,41.52804539,2.39258336,41.45,2.08,-300.0,-201.0,-250.5,99.0,bandoŕenḿibaigar,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
La Cadira del Bisbe,C.30.01.S1,B.43.01,katon,Premià de Dalt,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,Mediados o segunda mitad del siglo IV a.C.,41.50802045,2.34158045,41.45,2.08,-351.0,-327.0,-339.0,24.0,katon,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
Cal Ros de les Cabres,C.54.01.S1,B.42.01,[---]ku-s[---],El Masnou,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,RAYA,Siglo II - mediados s. I a.C.,41.47943758,2.31648978,41.45,2.08,-200.0,-26.0,-113.0,174.0,[---]gu-s[---],CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,RAYA,8
Baetulo,C.08.04.S1,B.41.17,[---]+ti,Badalona,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Quizá inicios del I a.C.,41.45262481,2.24625368,41.45,2.08,-100.0,-81.0,-90.5,19.0,[---]+di,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Baetulo,C.08.15.S1,B.41.16,[---]baś,Badalona,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Hacia el 100 a.C.,41.45262481,2.24625368,41.45,2.08,-120.0,-80.0,-100.0,40.0,[---]baś,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Baetulo,C.08.16.S1,B.41.13,lku,Badalona,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Segunda mitad del siglo II a.C. - primera mitad del siglo I a.C.,41.45262481,2.24625368,41.45,2.08,-150.0,-51.0,-100.5,99.0,lgu,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Baetulo,C.08.08.S1,B.41.11,karkankati,Badalona,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Segunda mitad del siglo II - primera mitad del siglo I a.C.,41.45262481,2.24625368,41.45,2.08,-150.0,-51.0,-100.5,99.0,gargangadi,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Baetulo,C.08.21.S1,B.41.07,l+[---],Badalona,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Siglo II a.C.,41.45262481,2.24625368,41.45,2.08,-200.0,-101.0,-150.5,99.0,l+[---],CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Baetulo,C.08.14.S1,B.41.15,tin[---],Badalona,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Primera mitad del siglo I a.C.,41.45262481,2.24625368,41.45,2.08,-100.0,-51.0,-75.5,49.0,din[---],CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Baetulo,C.08.09.S1,B.41.06,iun,Badalona,Barcelona,CERAMICA,Tapadera,DEXTROGIRA,IMPRESO,LEVANTINO,NO DUAL,CARECE,Primera mitad del siglo I a.C.,41.45262481,2.24625368,41.45,2.08,-100.0,-51.0,-75.5,49.0,iun,CERAMICA,1,TAPADERA,22,1,IMPRESO,3,LEVANTINO,1,NO DUAL,1,CARECE,1
Montjuïc,C.09.02.S1,B.37.03,baikar,Barcelona,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,"Siglo IV a.C. (mediados o segunda mitad, probablemente)",41.38424664,2.17634927,41.45,2.08,-375.0,-325.0,-350.0,50.0,baikar,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
Montjuïc,C.09.03.S1,B.37.04,uatina,Barcelona,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Siglo I a.C.,41.38424664,2.17634927,41.45,2.08,-100.0,-1.0,-50.5,99.0,uadina,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
El Camí Vell del Llor,C.31.01.S1,B.36.03,iko,Sant Boi de Llobregat,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Tercer cuarto del s. II a.C.,41.3425371,2.04182116,41.45,2.08,-150.0,-126.0,-138.0,24.0,igo,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
El Camí Vell del Llor,C.31.09.S1,B.36.05,[---]ba+[---],Sant Boi de Llobregat,Barcelona,CERAMICA,Ánfora,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Tercer cuarto del s. II a.C.,41.3425371,2.04182116,41.45,2.08,-150.0,-126.0,-138.0,24.0,[---]ba+[---],CERAMICA,1,ÁNFORA,7,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
El Camí Vell del Llor,C.31.02.S1,B.36.06,[---]esa,Sant Boi de Llobregat,Barcelona,CERAMICA,Ánfora,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Tercer cuarto del siglo II a.C.,41.3425371,2.04182116,41.45,2.08,-150.0,-126.0,-138.0,24.0,[---]esa,CERAMICA,1,ÁNFORA,7,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
El Camí Vell del Llor,C.31.03.S1,B.36.08,[---]+eti+[---],Sant Boi de Llobregat,Barcelona,CERAMICA,Ánfora,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Primer cuarto del s. I a.C.,41.3425371,2.04182116,41.45,2.08,-100.0,-76.0,-88.0,24.0,[---]+edi+[---],CERAMICA,1,ÁNFORA,7,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
El Camí Vell del Llor,C.31.04.S1,B.36.07,[---]mba+[---],Sant Boi de Llobregat,Barcelona,CERAMICA,Ánfora,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Tercer cuarto del siglo I a.C.,41.3425371,2.04182116,41.45,2.08,-50.0,-26.0,-38.0,24.0,[---]mba+[---],CERAMICA,1,ÁNFORA,7,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Sant Boi de Llobregat,C.31.05.S1,B.36.02,tau[---],Sant Boi de Llobregat,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Mediados del s. II a.C.,41.3425371,2.04182116,41.45,2.08,-175.0,-126.0,-150.5,49.0,dau[---],CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Sant Boi de Llogregat,C.31.06.S1,B.36.04,laku,Sant Boi de Llogregat,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Primera mitad del siglo I a.C.,41.3425371,2.04182116,41.45,2.08,-100.0,-51.0,-75.5,49.0,lagu,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Sant Boi de Llobregat,C.31.07.S1,B.36.01,skeŕlakonaŕankokolo[---],Sant Boi de Llobregat,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,Siglos IV - III a.C.,41.3425371,2.04182116,41.45,2.08,-400.0,-201.0,-300.5,199.0,skeŕlakonaŕankokolo[---],CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
Egara,C.32.02.S1,B.16.02,bai[---],Terrassa,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Siglo II - mediados s. I a.C.,41.56236346,2.01215141,41.45,2.08,-200.0,-26.0,-113.0,174.0,bai[---],CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Egara,C.32.03.S1,B.16.04,use[---],Terrassa,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Finales del s. II o principios del I a.C.,41.56236346,2.01215141,41.45,2.08,-121.0,-1.0,-61.0,120.0,use[---],CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Can Fatjó,C.11.13.S1,B.17.11,[---]lau,Rubí,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Primera mitad del I a.C.,41.41416031,1.651743545,41.45,2.08,-100.0,-51.0,-75.5,49.0,[---]lau,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
El Turó de Ca n'Oliver,C.12.03.S1,B.20.14,[---]kule,Cerdanyola del Vallès,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Insegura: siglos II - I a.C.,41.49134054,2.1398926,41.45,2.08,-200.0,-1.0,-100.5,199.0,[---]gule,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
El Turó de Ca n'Oliver,C.12.02.S1,B.20.04,bilo[s]aŕkerdegiar,Cerdanyola del Vallès,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,Entre el siglo IV y la segunda mitad del siglo III a.C.,41.49134054,2.1398926,41.45,2.08,-400.0,-201.0,-300.5,199.0,bilosaŕkerdegiar,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
El Puig Cardener,C.33.01.S1,B.13.01,aduŕọ[---],Manresa,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,Segunda mitad del siglo V a.C.,41.72312665,1.826990985,41.45,2.08,-450.0,-401.0,-425.5,49.0,aduŕọ[---],CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
Boades,C.33.02.S1,B.14.01,lal,Castellgalí,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Segunda mitad del siglo II a.C.,41.67613293,1.8396602,41.45,2.08,-150.0,-101.0,-125.5,49.0,lal,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Boades,C.33.03.S1,B.14.03,baŕ,Castellgalí,Barcelona,CERAMICA,Ánfora,DEXTROGIRA,Incisión ante coctionem,LEVANTINO,NO DUAL,CARECE,Segunda mitad del siglo II a.C.,41.67613293,1.8396602,41.45,2.08,-150.0,-101.0,-125.5,49.0,baŕ,CERAMICA,1,ÁNFORA,7,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Sigarra,D.,B.12.07,[---]-s,Els Prats de Rei,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Siglo II - primera mitad del s. I a.C.,41.70526754,1.54209814,41.45,2.08,-200.0,-51.0,-125.5,149.0,[---]-s,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Sigarra,D. (C.34.01.S1),B.12.01,ata,Els Prats de Rei,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Siglo II a.C. - primera mitad s. I a.C.,41.70526754,1.54209814,41.45,2.08,-200.0,-51.0,-125.5,149.0,ada,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Sigarra,D. (C.34.02.S1),B.12.03,ḿba,Els Prats de Rei,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Mediados o segunda mitad del siglo II a. E.,41.70526754,1.54209814,41.45,2.08,-151.0,-127.0,-139.0,24.0,ḿba,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Sigarra,D. (C.34.03.S1),B.12.05,ube,Els Prats de Rei,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Mediados o segunda mitad del siglo II a.C.,41.70526754,1.54209814,41.45,2.08,-151.0,-127.0,-139.0,24.0,ube,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Sigarra,D. (C.34.04.S1),B.12.02,itiḿ,Els Prats de Rei,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Mediados o segunda mitad del siglo II a.C.,41.70526754,1.54209814,41.45,2.08,-151.0,-127.0,-139.0,24.0,idiḿ,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Sigarra,D. (C.34.05.S1),B.12.08,a) alauke b) ti,Els Prats de Rei,Barcelona,CERAMICA,Ánfora,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Mediados o segunda mitad del siglo II a.C.,41.70526754,1.54209814,41.45,2.08,-151.0,-127.0,-139.0,24.0,alauge,CERAMICA,1,ÁNFORA,7,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
L'Aubreda,D. (C.55.01.S1),B.10.01,a) [---]ti b) +,Sant Martí de Tous,Barcelona,CERAMICA,Ánfora,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Siglos II - I a.C.,41.55991606,1.52455178,41.45,2.08,-200.0,-1.0,-100.5,199.0,[---]di,CERAMICA,1,ÁNFORA,7,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
El Vilar,C.35.01.S1,T.03.04,:iŕekeśta(o)nataŕśuekiarsinekun baibaibar,Valls,Tarragona,CERAMICA,INSTRUMENTO,DEXTROGIRA,Incisión ante cocturam,LEVANTINO,NO DUAL,TRES PUNTOS,Siglo IV - principios s. II a.C.,41.2838885,1.2473842,41.17,1.0,-400.0,-101.0,-250.5,299.0,o baibaibar,CERAMICA,1,INSTRUMENTO,10,1,INCISION,1,LEVANTINO,1,NO DUAL,1,TRES PUNTOS,4
El Castell d'Amposta,C.36.01.S1,T.14.02,taŕ,Amposta,Tarragona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Segunda mitad del siglo II a.C. o primera mitad del I a.C.,40.7103883,0.57831025,41.17,1.0,-150.0,-51.0,-100.5,99.0,daŕ,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
El Castell d'Amposta,C.36.02.S1,T.14.03,kas[---],Amposta,Tarragona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Segunda mitad del siglo II o primera mitad del siglo I a.C.,40.7103883,0.57831025,41.17,1.0,-150.0,-1.0,-75.5,149.0,gas[---],CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Montbarbat,C.29.02.S1,GI.17.02,[---]lkoti,Lloret de Mar,Girona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,Comienzos del siglo III a.C.,41.69957944,2.84739507,42.17,2.67,-300.0,-281.0,-290.5,19.0,[---]lkoti,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
Empúries,C.01.12,GI.10.19,duŕśbiuŕar,L'Escala,Girona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,Finales del s. IV a.C.,42.12467235,3.13299609,42.17,2.67,-321.0,-302.0,-311.5,19.0,duŕśbiuŕar,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
Empúries,C.01.30.S1,GI.10.16,bikitiŕ,L'Escala,Girona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Siglo IV a.C.,42.12467235,3.13299609,42.17,2.67,-400.0,-301.0,-350.5,99.0,bigidiŕ,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Empúries,C.01.31.S1,GI.10.17,biuŕtaŕar,L'Escala,Girona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,S. IV a.C.,42.12467235,3.13299609,42.17,2.67,-400.0,-301.0,-350.5,99.0,biuŕtaŕar,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
Empúries,C.01.32.S1,GI.10.18,kibas,L'Escala,Girona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Siglo IV a.C.,42.12467235,3.13299609,42.17,2.67,-400.0,-301.0,-350.5,99.0,gibas,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Empúries,C.01.33.S1,GI.10.20,unbas,L'Escala,Girona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Siglo IV a.C.,42.12467235,3.13299609,42.17,2.67,-400.0,-301.0,-350.5,99.0,unbas,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
El Castellet de Banyoles,C.21.06.S1,T.07.02,A) [---]uteska:eŕkaikiśoka:baŕbinkite [---]kianaiunortiniku:śalirotanai [---]ultibeikate:śalir:siatikanis: [---]tike B) aiunortinikabitaŕanteśir,Tivissa,Tarragona,PLOMO,LAMINA/PLANCHA,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,DOS PUNTOS,Finales s. III - comienzos s. II a.C.,41.043382,0.73207763,41.17,1.0,-221.0,-181.0,-201.0,40.0,[---]udesga:eŕgaigiśoga:baŕbingide [---]gianaiunordinigu:śalirodanai [---]uldibeigade:śalir:siadiganis: [---]dige,PLOMO,3,LAMINA/PLANCHA,2,1,INCISION,1,LEVANTINO,1,NO DUAL,1,DOS PUNTOS,3
El Castellet de Banyoles,C.21.06.S1,T.07.02,A) [---]uteska:eŕkaikiśoka:baŕbinkite [---]kianaiunortiniku:śalirotanai [---]ultibeikate:śalir:siatikanis: [---]tike B) aiunortinikabitaŕanteśir,Tivissa,Tarragona,PLOMO,LAMINA/PLANCHA,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,DOS PUNTOS,Finales s. III - comienzos s. II a.C.,41.043382,0.73207763,41.17,1.0,-221.0,-181.0,-201.0,40.0,aiunordinigabidaŕandeśir,PLOMO,3,LAMINA/PLANCHA,2,1,INCISION,1,LEVANTINO,1,NO DUAL,1,DOS PUNTOS,3
El Castellet de Banyoles,C.21.07.S1,T.07.04,------? [i]unsti- r:banbite- ŕoka : [1-2]+e ------,Tivissa,Tarragona,PLOMO,LAMINA/PLANCHA,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,DOS PUNTOS,Aprox. 200 a.C.,41.043382,0.73207763,41.17,1.0,-220.0,-180.0,-200.0,40.0,iunsdir:banbideŕoga : [---]+e,PLOMO,3,LAMINA/PLANCHA,2,1,INCISION,1,LEVANTINO,1,NO DUAL,1,DOS PUNTOS,3
Desconocido,C.00.03.S1,T.00.03,[---]ṛ́skaido+[---] [---]+silunini+[---] [---]ḅẹgeŕḍịniŕika[---],Desconocido,Tarragona,PLOMO,LAMINA/PLANCHA,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,Siglo III a.C.,41.69252892333245,1.1002530106201265,41.17,1.0,-300.0,-201.0,-250.5,99.0,[---]ṛ́skaido+[---] [---]+silunini+[---] [---]ḅẹgeŕḍịniŕika[---],PLOMO,3,LAMINA/PLANCHA,2,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
Desconocido,C.00.01,T.00.01,koŕasiŕen:e Π I neŕseoŕtinika:e I I ḳạisuŕanaŕika:I I,Desconocido,Tarragona,PLOMO,LAMINA/PLANCHA,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,TRES PUNTOS,Siglo II a.C.,41.69252892333245,1.1002530106201265,41.17,1.0,-200.0,-101.0,-150.5,99.0,goŕasiŕen:e Π I neŕseoŕdiniga:e I I g̣ạisuŕanaŕiga:I I,PLOMO,3,LAMINA/PLANCHA,2,1,INCISION,1,LEVANTINO,1,NO DUAL,1,TRES PUNTOS,4
Serra de Puigverd III,D.,L.10.01,aŕsi[---],Puigverd,Lleida,CERAMICA,Ánfora,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Siglos II - I a.C.,41.77726506,1.12196171,42.0,1.17,-200.0,-1.0,-100.5,199.0,aŕsi[---],CERAMICA,1,ÁNFORA,7,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
